,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Patel, Dhruvil",JR-3,North Central (Ill.),13:58.27,2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
1,2,"Hird, Zach",SR-4,North Central (Ill.),14:24.55,NCC Gregory Final Qualifier,"May 16, 2018"
2,3,"Norvell, Matthew",JR-3,North Central (Ill.),14:28.49,UW Platteville Invitational,"Apr 12, 2018"
3,4,"McKenna, Nolan",JR-3,North Central (Ill.),14:33.19,North Central College Dr. Keeler Meet,"May 10, 2018"
4,5,"O'Keefe, Dan",SR-4,North Central (Ill.),14:34.42,2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
5,6,"Sismelich, Steven",SR-4,North Central (Ill.),14:36.15,NCC Gregory Final Qualifier,"May 16, 2018"
6,7,"Osmulski, Matt",SO-2,North Central (Ill.),14:37.21,North Central College Dr. Keeler Meet,"May 10, 2018"
7,8,"Makrounis, Alex",FR-1,North Central (Ill.),14:43.28,UW Platteville Invitational,"Apr 12, 2018"
8,9,"Dina, Dominic",SO-2,North Central (Ill.),14:54.05,2018 Wash U Invite,"Mar 31, 2018"
9,10,"Wilkerson, Brandon",JR-3,Augustana (Ill.),14:58.93,UW Platteville Invitational,"Apr 12, 2018"
10,11,"Osing, Tanner",SR-4,Augustana (Ill.),14:58.94,North Central College Dr. Keeler Meet,"May 10, 2018"
11,12,"Jaskowiak, Jacob",JR-3,North Central (Ill.),15:01.02,UW Platteville Invitational,"Apr 12, 2018"
12,13,"Baldonado, Al",SO-2,North Central (Ill.),15:04.81,UW Platteville Invitational,"Apr 12, 2018"
13,14,"Kuenneth, Tanner",SR-4,Illinois Wesleyan,15:23.24,2018 Wash U Invite,"Mar 31, 2018"
14,15,"Williams, Rob",JR-3,Augustana (Ill.),15:24.49,UW Platteville Invitational,"Apr 12, 2018"
15,16,"Shroda, Bjorn",SO-2,North Central (Ill.),15:25.60,NCC Gregory Final Qualifier,"May 16, 2018"
16,17,"Massot, Seth",SO-2,Wheaton (Ill.),15:27.01,2018 Don Church Twilight,"Apr 21, 2018"
17,18,"Claus, Kevin",SR-4,Augustana (Ill.),15:28.53,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Mohammed, Nebil",JR-3,North Central (Ill.),15:29.45,North Central College Dr. Keeler Meet,"May 10, 2018"
19,20,"Engberg, Logan",JR-3,Carthage,15:30.71,NCC Gregory Final Qualifier,"May 16, 2018"
20,21,"Peterson, Simon",SO-2,Wheaton (Ill.),15:30.85,CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Bailon, Argeni",SR-4,North Central (Ill.),15:31.48,UW Platteville Invitational,"Apr 12, 2018"
22,23,"Alexander, Grant",JR-3,Wheaton (Ill.),15:31.51,2018 Don Church Twilight,"Apr 21, 2018"
23,24,"Beutel, Alec",SO-2,North Central (Ill.),15:35.05,2018 Wheaton Invitational,"Apr 7, 2018"
24,25,"Johnson, Mitchell",SR-4,Augustana (Ill.),15:37.13,North Central College Dr. Keeler Meet,"May 10, 2018"
