,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Marton, Grant",JR-3,Carroll,1:51.80,NCC Gregory Final Qualifier,"May 16, 2018"
1,2,"Harvey, Nick",SO-2,Augustana (Ill.),1:54.00,Augustana Twilight,"May 17, 2018"
2,3,"Sebastian, Brendon",FR-1,North Central (Ill.),1:54.36,NCC Gregory Final Qualifier,"May 16, 2018"
3,4,"Suda, Chris",SO-2,North Central (Ill.),1:54.42,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"McQuality, James",SR-4,North Central (Ill.),1:55.12,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Pinkerton, Logan",SO-2,Wheaton (Ill.),1:55.29,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Buechner, Chris",JR-3,North Central (Ill.),1:55.50,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Penningroth, Jonah",SO-2,North Central (Ill.),1:55.51,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Teets, Josh",FR-1,Augustana (Ill.),1:56.16,North Central College Dr. Keeler Meet,"May 10, 2018"
9,10,"Dowell, Bradley",JR-3,Wheaton (Ill.),1:56.77,CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Lopez, Saul",SR-4,North Park,1:57.22,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Gary, Jarrett",FR-1,Carthage,1:57.63,CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Adams, Grant",FR-1,Wheaton (Ill.),1:57.80,CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Benes, Zach",FR-1,Carroll,1:58.13,Bellarmine Classic 2018,"Apr 21, 2018"
14,15,"Dischinger, David",SO-2,Wheaton (Ill.),1:58.33,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Weglarz, TJ",FR-1,Millikin,1:58.63,True Blue Twilight,"Apr 27, 2018"
16,17,"Daghfal, Andrew",JR-3,Wheaton (Ill.),1:58.82,2018 Don Church Twilight,"Apr 21, 2018"
17,18,"Lobdell, Kade",FR-1,Millikin,1:58.89,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Graham, Dante",SO-2,Carthage,1:59.87,CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Walker, Johnathan",SR-4,Wheaton (Ill.),2:00.22,NCC Gregory Final Qualifier,"May 16, 2018"
20,21,"Van Os, Andrew",JR-3,Wheaton (Ill.),2:00.32,North Central College Dr. Keeler Meet,"May 10, 2018"
21,22,"Thomas, Hudson",SR-4,Wheaton (Ill.),2:00.58,Lewis Twilight,"Apr 24, 2018"
22,23,"Licari, Nick",SO-2,North Central (Ill.),2:00.70,NCC Gregory Final Qualifier,"May 16, 2018"
23,24,"Sand, Mitch",SR-4,Augustana (Ill.),2:01.22,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Davies, Joey",FR-1,Millikin,2:01.67,CCIW Outdoor Track & Field Championships,"May 4, 2018"
