,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Roeske, Hannah",FR-1,Wheaton (Ill.),4:43.52,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Johnson, Erika",JR-3,Wheaton (Ill.),4:44.31,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Larson, Karlee",JR-3,Carroll,4:47.14,North Central College Dr. Keeler Meet,"May 10, 2018"
3,4,"Barajas, Dianne",JR-3,North Central (Ill.),4:47.30,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Bailey, Megan",JR-3,Wheaton (Ill.),4:48.53,2018 Don Church Twilight,"Apr 21, 2018"
5,6,"Drake, Victoria",SR-4,Illinois Wesleyan,4:49.05,2018 Don Church Twilight,"Apr 21, 2018"
6,7,"McMahon, Riley",FR-1,Carthage,4:51.39,North Central College Dr. Keeler Meet,"May 10, 2018"
7,8,"Scopp, Madelyn",SO-2,North Central (Ill.),4:51.63,2018 Wheaton Invitational,"Apr 7, 2018"
8,9,"Pridemore, Alyssa",SR-4,Illinois Wesleyan,4:51.92,2018 Don Church Twilight,"Apr 21, 2018"
9,10,"Setran, Anna Joy",FR-1,Wheaton (Ill.),4:53.55,2018 Don Church Twilight,"Apr 21, 2018"
10,11,"Oechsle, Hannah",SO-2,Wheaton (Ill.),4:54.81,2018 Don Church Twilight,"Apr 21, 2018"
11,12,"Baars, Christy",SR-4,Wheaton (Ill.),4:55.04,2018 Don Church Twilight,"Apr 21, 2018"
12,13,"Dixon, Mackenzie",FR-1,Millikin,4:55.43,True Blue Twilight,"Apr 27, 2018"
13,14,"Alexander, Elise",JR-3,Wheaton (Ill.),4:57.28,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Yakesh, Jenna",FR-1,North Central (Ill.),4:58.40,NCC Gregory Final Qualifier,"May 16, 2018"
15,16,"Henz, Alexis",FR-1,North Central (Ill.),4:58.54,2018 Wheaton Invitational,"Apr 7, 2018"
16,17,"Miner, Johnelle",SO-2,Carthage,4:58.92,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Humecke, Jill",SO-2,Augustana (Ill.),4:59.48,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
18,19,"Kaefring, Rebecca",JR-3,North Central (Ill.),5:00.54,Augustana Viking Olympics,"Mar 29, 2018"
19,20,"DeArmond, Michelle",JR-3,Augustana (Ill.),5:01.93,Augustana Viking Olympics,"Mar 29, 2018"
20,21,"Barnes, Laura",JR-3,Wheaton (Ill.),5:02.67,2018 Don Church Twilight,"Apr 21, 2018"
21,22,"Wolke, Isabella",FR-1,Elmhurst,5:03.69,CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Mondrella, Alisandra",FR-1,Elmhurst,5:05.75,CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Bennis, Lexi",FR-1,Augustana (Ill.),5:06.12,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Rohn, Jamie",SR-4,North Central (Ill.),5:06.23,2018 Don Church Twilight,"Apr 21, 2018"
