,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Willhite, Hannah",SO-2,Augustana (Ill.),24.54,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Eastburn, Katie",SO-2,Augustana (Ill.),24.75,Augustana Twilight,"May 17, 2018"
2,3,"Newingham, Isabella",SO-2,Millikin,24.99,Augustana Twilight,"May 17, 2018"
3,4,"Ezewuzie, Favor",SO-2,Wheaton (Ill.),25.12,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Lukens, Erin",JR-3,Millikin,25.59,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"McLaurin, Kelsey",FR-1,North Central (Ill.),25.70,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Dansdill, Maggie",SR-4,Wheaton (Ill.),25.75,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Whipple, Mayson",JR-3,North Central (Ill.),25.81,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Spencer, Raissa",SR-4,Carroll,25.90,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Brown, Natasha",JR-3,Wheaton (Ill.),26.01,NCC Gregory Final Qualifier,"May 16, 2018"
10,11,"Peterson, Amanda",FR-1,Augustana (Ill.),26.05,Augustana Twilight,"May 17, 2018"
11,12,"Ciezadlo, Cailey",FR-1,Carthage,26.07,Benedictine Relays and Invitational,"Apr 13, 2018"
12,13,"Heath, Marissa",SO-2,Wheaton (Ill.),26.12,Benedictine Relays and Invitational,"Apr 13, 2018"
13,14,"McGee, Abby Grace",JR-3,Wheaton (Ill.),26.23,North Central College Dr. Keeler Meet,"May 10, 2018"
14,15,"Anderson, Rebecca",JR-3,Illinois Wesleyan,26.46,Greenville Select,"Apr 14, 2018"
15,16,"McCadd, Elizabeth",FR-1,North Central (Ill.),26.79,Lewis Twilight,"Apr 24, 2018"
16,17,"Favino, Rose",JR-3,Wheaton (Ill.),26.80,2018 Don Church Twilight,"Apr 21, 2018"
17,18,"Fischer, Sierra",SO-2,Carroll,26.88,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Kitchen, Nicole",SR-4,Wheaton (Ill.),26.91,CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Vicik, Kyley",JR-3,North Central (Ill.),26.92,CCIW Outdoor Track & Field Championships,"May 4, 2018"
20,21,"Melo, Valeria",SR-4,Augustana (Ill.),26.97,Augustana Viking Olympics,"Mar 29, 2018"
21,22,"Osoba, Rachel",JR-3,Illinois Wesleyan,27.01,Rhodes Invitational,"Mar 16, 2018"
22,23,"Horak, Carly",FR-1,North Central (Ill.),27.07,NCC Gregory Final Qualifier,"May 16, 2018"
23,24,"Dolan, Dani",SR-4,Carthage,27.08,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,24,"Taylor, Janelle",SO-2,Carthage,27.08,CCIW Outdoor Track & Field Championships,"May 4, 2018"
