,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Hilton, Kyle",JR-3,North Central (Ill.),15.08,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Henry, Matthew",SR-4,Augustana (Ill.),15.36,Augustana Twilight,"May 17, 2018"
2,2,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),15.36,Lewis Twilight,"Apr 24, 2018"
3,4,"Rubarts, Tyler",SR-4,Augustana (Ill.),15.39,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Sommers, Clayton",JR-3,Augustana (Ill.),15.53,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,5,"Stuttle, Nick",SO-2,North Central (Ill.),15.53,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Collins, Dalton",SO-2,Millikin,15.82,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Margason, Andy",SO-2,Wheaton (Ill.),16.05,Beloit Relays,"Apr 28, 2018"
8,9,"Krueger, Brad",SR-4,Carthage,16.13,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Feula, Antonio",SO-2,Illinois Wesleyan,16.21,DePauw Outdoor Invitational,"Apr 7, 2018"
10,11,"Musgrave, Erik",SO-2,North Central (Ill.),16.29,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Barrio, Jose",SO-2,North Park,16.36,North Central College Dr. Keeler Meet,"May 10, 2018"
12,13,"Smith, Riley",FR-1,Augustana (Ill.),16.40,CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Marcy, Brandon",JR-3,Augustana (Ill.),16.43,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Adams, Andrew",SR-4,Augustana (Ill.),16.45,NCC Gregory Final Qualifier,"May 16, 2018"
15,16,"Povilaitis, Rashawn",JR-3,North Central (Ill.),16.62,Benedictine Relays and Invitational,"Apr 13, 2018"
16,17,"Smith, Robert",SO-2,Wheaton (Ill.),16.75,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Donovan, Kevin",SO-2,Augustana (Ill.),16.90,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Johnson, Alex",SO-2,Millikin,16.98,CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Harris, David",SR-4,Wheaton (Ill.),16.99,Lewis Twilight,"Apr 24, 2018"
20,21,"Couch, Peyton",FR-1,Augustana (Ill.),17.02,UW-Platteville Open,"Apr 7, 2018"
21,22,"Cabrera, Paul",FR-1,Augustana (Ill.),17.05,UW-Platteville Open,"Apr 7, 2018"
22,23,"O'Carroll, Sean",SR-4,Illinois Wesleyan,17.88,2018 Don Church Twilight,"Apr 21, 2018"
23,24,"Hughes, Tyler",SO-2,North Park,18.43,Beloit Relays,"Apr 28, 2018"
24,25,"Bornstien, Daniel",FR-1,Augustana (Ill.),18.58,UW-Whitewater Drake Alternative,"Apr 28, 2018"
