,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Buechner, Chris",JR-3,North Central (Ill.),3:52.58,NCC Gregory Final Qualifier,"May 16, 2018"
1,2,"Anderson, Michael",JR-3,North Central (Ill.),3:53.82,North Central College Dr. Keeler Meet,"May 10, 2018"
2,3,"Hird, Zach",SR-4,North Central (Ill.),3:53.87,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Osing, Tanner",SR-4,Augustana (Ill.),3:55.78,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Patel, Dhruvil",JR-3,North Central (Ill.),3:56.09,2018 Don Church Twilight,"Apr 21, 2018"
5,6,"Thomas, Hudson",SR-4,Wheaton (Ill.),3:57.63,Swarthmore Final Qualifier Meet,"May 14, 2018"
6,7,"O'Keefe, Dan",SR-4,North Central (Ill.),3:57.88,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"McQuality, James",SR-4,North Central (Ill.),3:58.18,NCC Gregory Final Qualifier,"May 16, 2018"
8,9,"Jaskowiak, Jacob",JR-3,North Central (Ill.),3:59.14,NCC Gregory Final Qualifier,"May 16, 2018"
9,10,"Osmulski, Matt",SO-2,North Central (Ill.),4:00.18,2018 Don Church Twilight,"Apr 21, 2018"
10,11,"Harvey, Nick",SO-2,Augustana (Ill.),4:00.26,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
11,12,"Teets, Josh",FR-1,Augustana (Ill.),4:01.29,Augustana Viking Olympics,"Mar 29, 2018"
12,13,"Penningroth, Jonah",SO-2,North Central (Ill.),4:02.15,North Central College Dr. Keeler Meet,"May 10, 2018"
13,14,"Wilkerson, Brandon",JR-3,Augustana (Ill.),4:02.27,Augustana Viking Olympics,"Mar 29, 2018"
14,15,"Johnson, Mitchell",SR-4,Augustana (Ill.),4:04.05,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Pommier, Gabriel",FR-1,North Central (Ill.),4:04.72,Benedictine Relays and Invitational,"Apr 13, 2018"
16,17,"Spykstra, Seth",SR-4,Wheaton (Ill.),4:05.01,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Irvine, Ian",SO-2,North Central (Ill.),4:06.45,Benedictine Relays and Invitational,"Apr 13, 2018"
18,19,"Baldonado, Al",SO-2,North Central (Ill.),4:06.55,2018 Don Church Twilight,"Apr 21, 2018"
19,20,"Sebastian, Brendon",FR-1,North Central (Ill.),4:06.86,2018 Wheaton Invitational,"Apr 7, 2018"
20,21,"Tweedy, Nolan",SR-4,Illinois Wesleyan,4:06.93,CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Davies, Joey",FR-1,Millikin,4:07.44,Big Blue Alumni Invitational,"Apr 7, 2018"
22,23,"Wiggin, Dan",SR-4,Elmhurst,4:07.46,North Central College Dr. Keeler Meet,"May 10, 2018"
23,24,"Rivas, Joe",JR-3,Elmhurst,4:07.78,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Larkin, Michael",SO-2,Wheaton (Ill.),4:07.93,CCIW Outdoor Track & Field Championships,"May 4, 2018"
