,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Zenon, Christian",JR-3,Millikin,21.74,Augustana Twilight,"May 17, 2018"
1,2,"Stanley, Michael",FR-1,North Central (Ill.),21.91,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Allen, Jackson",FR-1,Millikin,22.00,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Jeffries, Ansel",FR-1,Carthage,22.11,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Swanson, Jeffrey",SR-4,Augustana (Ill.),22.21,Augustana Viking Olympics,"Mar 29, 2018"
5,6,"LaMendola, Alex",SR-4,Augustana (Ill.),22.22,UW-Platteville Open,"Apr 7, 2018"
6,7,"Ogbebor, Victor",SR-4,Elmhurst,22.25,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Spaccapaniccia, Daniel",SR-4,North Central (Ill.),22.26,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Findlay, Maceo",SO-2,North Central (Ill.),22.28,Benedictine Relays and Invitational,"Apr 13, 2018"
9,10,"Hucker, Kyle",SR-4,Augustana (Ill.),22.32,UW-Platteville Open,"Apr 7, 2018"
10,11,"Johnson, Michael",JR-3,Augustana (Ill.),22.45,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Patterson, Noah",FR-1,Augustana (Ill.),22.52,Augustana Twilight,"May 17, 2018"
12,13,"Cruz, Brandon",FR-1,North Central (Ill.),22.61,CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Ojomu, Mark",SR-4,North Park,22.68,North Central College Dr. Keeler Meet,"May 10, 2018"
14,15,"Harvey, Marqus",FR-1,Illinois Wesleyan,22.73,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Wheeler, Austin",SO-2,Augustana (Ill.),22.79,Augustana Twilight,"May 17, 2018"
16,17,"Gaines, Jawan",SO-2,Elmhurst,22.80,Benedictine Relays and Invitational,"Apr 13, 2018"
17,18,"Amstutz, Paul",SO-2,Wheaton (Ill.),22.85,Lewis Twilight,"Apr 24, 2018"
18,19,"Kohler, Bradley",FR-1,Augustana (Ill.),22.87,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
19,20,"Kallien, Robert",JR-3,North Central (Ill.),22.93,Benedictine Relays and Invitational,"Apr 13, 2018"
20,21,"Gargano, Chris",SO-2,Carthage,22.95,Benedictine Relays and Invitational,"Apr 13, 2018"
21,22,"Lauber, Andrew",FR-1,Wheaton (Ill.),23.08,Lewis Twilight,"Apr 24, 2018"
22,23,"Rasmussen, Dane",JR-3,Carthage,23.11,Benedictine Relays and Invitational,"Apr 13, 2018"
23,24,"Lidinsky, Alec",SR-4,Augustana (Ill.),23.24,Augustana Twilight,"May 17, 2018"
24,25,"Williams, Bemajedareki",SR-4,Millikin,23.27,CCIW Outdoor Track & Field Championships,"May 4, 2018"
