,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Willhite, Hannah",SO-2,Augustana (Ill.),12.05,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Ezewuzie, Favor",SO-2,Wheaton (Ill.),12.19,"Hillsdale ""Last-Chance"" Classic w/ Multi","May 9, 2018"
2,3,"Glueck, Amelia",SR-4,Illinois Wesleyan,12.24,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Newingham, Isabella",SO-2,Millikin,12.29,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Peterson, Amanda",FR-1,Augustana (Ill.),12.40,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Whipple, Mayson",JR-3,North Central (Ill.),12.45,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Anderson, Rebecca",JR-3,Illinois Wesleyan,12.56,Monmouth Midweek,"Apr 24, 2018"
7,8,"Dansdill, Maggie",SR-4,Wheaton (Ill.),12.57,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Ciezadlo, Cailey",FR-1,Carthage,12.76,2018 Wheaton Invitational,"Apr 7, 2018"
9,10,"Vicik, Kyley",JR-3,North Central (Ill.),12.83,CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Brown, Natasha",JR-3,Wheaton (Ill.),12.86,Swarthmore Final Qualifier Meet,"May 14, 2018"
11,12,"Chavez, Yasmin",FR-1,Elmhurst,12.87,CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Osoba, Rachel",JR-3,Illinois Wesleyan,12.93,Augustana Twilight,"May 17, 2018"
13,14,"Furio, Faith",JR-3,North Park,12.96,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Taylor, Janelle",SO-2,Carthage,12.98,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,15,"Spencer, Raissa",SR-4,Carroll,12.98,St. Norbert Quad,"Apr 28, 2018"
16,17,"McGee, Abby Grace",JR-3,Wheaton (Ill.),13.03,NCC Gregory Final Qualifier,"May 16, 2018"
17,18,"Proksa, Ashley",SO-2,Carthage,13.06,Benedictine Relays and Invitational,"Apr 13, 2018"
18,18,"Papke, Amanda",JR-3,North Park,13.06,CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Lee, Nia",FR-1,Illinois Wesleyan,13.10,2018 Wash U Invite,"Mar 31, 2018"
20,21,"Jackson, Challen",SO-2,North Central (Ill.),13.15,CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,21,"Motton, Destiny",FR-1,Carthage,13.15,CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Boron, Davida",SO-2,Illinois Wesleyan,13.21,Monmouth Midweek,"Apr 24, 2018"
23,24,"Horak, Carly",FR-1,North Central (Ill.),13.32,North Central College Dr. Keeler Meet,"May 10, 2018"
24,25,"Pierce, Casie",FR-1,Millikin,13.44,Greenville Select,"Apr 14, 2018"
