,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Eastburn, Katie",SO-2,Augustana (Ill.),55.92,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Lukens, Erin",JR-3,Millikin,56.75,Greenville Select,"Apr 14, 2018"
2,3,"Spencer, Raissa",SR-4,Carroll,57.48,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"McCadd, Elizabeth",FR-1,North Central (Ill.),58.12,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Zaragoza, Sydney",SR-4,Augustana (Ill.),58.50,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Dansdill, Maggie",SR-4,Wheaton (Ill.),58.97,2018 Wheaton Invitational,"Apr 7, 2018"
6,7,"Bachmann, Bethany",SR-4,North Central (Ill.),59.03,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Glatz, Madi",SO-2,Augustana (Ill.),59.82,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Bonney, Kaitlin",FR-1,North Central (Ill.),1:00.05,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Niebrugge, Brianna",FR-1,Millikin,1:00.20,CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Melo, Valeria",SR-4,Augustana (Ill.),1:00.27,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
11,12,"Buado, Ashley",SO-2,North Central (Ill.),1:00.51,CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Clevenger, Dallas",JR-3,Carthage,1:00.92,CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Favino, Rose",JR-3,Wheaton (Ill.),1:00.98,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Ezewuzie, Favor",SO-2,Wheaton (Ill.),1:01.11,2018 Wheaton Invitational,"Apr 7, 2018"
15,16,"Brown, Natasha",JR-3,Wheaton (Ill.),1:01.76,2018 Wheaton Invitational,"Apr 7, 2018"
16,17,"Whipple, Mayson",JR-3,North Central (Ill.),1:01.90,Bellarmine Classic 2018,"Apr 21, 2018"
17,18,"Matzal, Charlotte",SO-2,Wheaton (Ill.),1:02.23,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Glueck, Amelia",SR-4,Illinois Wesleyan,1:02.60,DePauw Outdoor Invitational,"Apr 7, 2018"
19,20,"Sutton, Tess",FR-1,Wheaton (Ill.),1:02.63,2018 Wheaton Invitational,"Apr 7, 2018"
20,21,"Lessila, Jami",FR-1,Elmhurst,1:02.79,2018 Cougar Invitational,"Apr 20, 2018"
21,22,"Hawthorne, Paige",JR-3,Wheaton (Ill.),1:02.95,CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Daghfal, Melody",JR-3,Wheaton (Ill.),1:03.01,CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Gilligan, Emily",FR-1,Elmhurst,1:03.14,Beloit Relays,"Apr 28, 2018"
24,25,"Schmidt, Chelsea",SR-4,Carthage,1:03.18,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
