,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Dixon, Mackenzie",FR-1,Millikin,2:11.40,North Central College Dr. Keeler Meet,"May 10, 2018"
1,2,"Johnson, Erika",JR-3,Wheaton (Ill.),2:12.20,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
2,3,"Roeske, Hannah",FR-1,Wheaton (Ill.),2:14.24,2018 Don Church Twilight,"Apr 21, 2018"
3,4,"Hartman, Allison",SR-4,North Central (Ill.),2:15.99,Bellarmine Classic 2018,"Apr 21, 2018"
4,5,"Gilligan, Emily",FR-1,Elmhurst,2:16.79,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Melo, Valeria",SR-4,Augustana (Ill.),2:18.63,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Hawthorne, Brianna",FR-1,Wheaton (Ill.),2:18.72,NCC Gregory Final Qualifier,"May 16, 2018"
7,8,"Barajas, Dianne",JR-3,North Central (Ill.),2:18.79,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Henz, Alexis",FR-1,North Central (Ill.),2:18.86,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Larson, Karlee",JR-3,Carroll,2:19.74,St. Norbert Quad,"Apr 28, 2018"
10,11,"Draghi, Kyle",JR-3,North Central (Ill.),2:20.36,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Yakesh, Jenna",FR-1,North Central (Ill.),2:20.44,CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Kitchen, Nicole",SR-4,Wheaton (Ill.),2:21.53,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
13,14,"McQueeny, Molly",SO-2,Carthage,2:21.60,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
14,15,"Powers, Morgan",SO-2,Millikin,2:22.28,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Dammeier, Hailey",JR-3,North Central (Ill.),2:22.31,North Central College Dr. Keeler Meet,"May 10, 2018"
16,17,"Lessila, Jami",FR-1,Elmhurst,2:22.87,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Wingerd, Cassidy",JR-3,Augustana (Ill.),2:23.61,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Weers, Claire",FR-1,Millikin,2:24.82,True Blue Twilight,"Apr 27, 2018"
19,20,"DeArmond, Michelle",JR-3,Augustana (Ill.),2:24.95,CCIW Outdoor Track & Field Championships,"May 4, 2018"
20,21,"Mondrella, Alisandra",FR-1,Elmhurst,2:25.09,CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"McMahon, Riley",FR-1,Carthage,2:25.35,CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Baars, Christy",SR-4,Wheaton (Ill.),2:26.08,Lewis Twilight,"Apr 24, 2018"
23,24,"Fisler, Emma",FR-1,Wheaton (Ill.),2:26.87,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Wolke, Isabella",FR-1,Elmhurst,2:26.91,2018 Cougar Invitational,"Apr 20, 2018"
